Days since 100,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Timor,Togo,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Uruguay,Uzbekistan,Vatican,Venezuela,Vietnam,World,Zambia,Zimbabwe
0.0,0.0,100.0,102.0,113.0,0.0,0.0,128.0,115.0,100.0,102.0,0.0,0.0,109.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,125.0,121.0,104.0,105.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,156.0,216.0,102.0,0.0,113.0,0.0,104.0,0.0,116.0,116.0,0.0,113.0,0.0,0.0,112.0,111.0,110.0,0.0,0.0,0.0,115.0,0.0,115.0,0.0,155.0,100.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,117.0,125.0,117.0,135.0,139.0,124.0,129.0,0.0,116.0,132.0,0.0,105.0,0.0,112.0,0.0,0.0,0.0,100.0,0.0,0.0,111.0,120.0,0.0,0.0,0.0,105.0,140.0,114.0,0.0,117.0,0.0,107.0,0.0,0.0,118.0,109.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,102.0,0.0,0.0,0.0,113.0,0.0,187.0,0.0,109.0,0.0,0.0,117.0,111.0,104.0,112.0,262.0,113.0,114.0,0.0,0.0,0.0,102.0,118.0,0.0,126.0,0.0,102.0,107.0,141.0,0.0,116.0,155.0,114.0,102.0,0.0,0.0,0.0,137.0,209.0,0.0,108.0,0.0,114.0,0.0,0.0,0.0,114.0,191.0,0.0,0.0,0.0,113.0,115.0,103.0,0.0,110.0,0.0,0.0,0.0,118.0,219.0,0.0,0.0
1.0,0.0,123.0,189.0,133.0,0.0,0.0,158.0,122.0,112.0,131.0,0.0,0.0,110.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,129.0,200.0,0.0,127.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,201.0,235.0,128.0,0.0,117.0,0.0,126.0,0.0,124.0,150.0,0.0,264.0,0.0,0.0,202.0,168.0,126.0,0.0,0.0,0.0,171.0,0.0,118.0,0.0,210.0,130.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,117.0,137.0,134.0,174.0,245.0,124.0,169.0,0.0,178.0,229.0,0.0,132.0,0.0,127.0,0.0,0.0,0.0,104.0,0.0,0.0,124.0,120.0,0.0,0.0,0.0,143.0,210.0,136.0,0.0,129.0,0.0,120.0,0.0,0.0,164.0,125.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,142.0,0.0,0.0,0.0,147.0,0.0,187.0,0.0,137.0,0.0,0.0,145.0,140.0,125.0,169.0,320.0,139.0,147.0,0.0,0.0,0.0,104.0,133.0,0.0,135.0,0.0,106.0,123.0,181.0,0.0,150.0,345.0,151.0,0.0,0.0,0.0,0.0,161.0,264.0,0.0,108.0,0.0,177.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,113.0,163.0,125.0,0.0,135.0,0.0,0.0,0.0,123.0,239.0,0.0,0.0
2.0,0.0,0.0,231.0,164.0,0.0,0.0,225.0,136.0,126.0,182.0,0.0,0.0,162.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,162.0,234.0,0.0,163.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,238.0,386.0,158.0,0.0,134.0,0.0,206.0,0.0,0.0,214.0,0.0,516.0,0.0,0.0,245.0,199.0,166.0,0.0,0.0,0.0,205.0,0.0,122.0,0.0,267.0,178.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,138.0,165.0,172.0,174.0,388.0,154.0,223.0,0.0,250.0,322.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,139.0,133.0,0.0,0.0,0.0,179.0,345.0,148.0,0.0,149.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,189.0,0.0,0.0,0.0,169.0,0.0,302.0,0.0,200.0,0.0,0.0,234.0,142.0,177.0,245.0,337.0,184.0,199.0,0.0,0.0,0.0,109.0,133.0,0.0,149.0,0.0,108.0,137.0,219.0,0.0,205.0,601.0,200.0,0.0,0.0,0.0,0.0,203.0,332.0,0.0,135.0,0.0,177.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,140.0,206.0,159.0,0.0,158.0,0.0,0.0,0.0,134.0,392.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,160.0,156.0,246.0,0.0,0.0,162.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,185.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,342.0,526.0,210.0,0.0,158.0,0.0,235.0,0.0,0.0,298.0,0.0,676.0,0.0,0.0,312.0,426.0,196.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,272.0,212.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,178.0,191.0,172.0,221.0,593.0,164.0,292.0,0.0,260.0,400.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,180.0,149.0,0.0,0.0,0.0,209.0,484.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,478.0,0.0,245.0,0.0,0.0,263.0,187.0,238.0,331.0,401.0,217.0,253.0,0.0,0.0,0.0,126.0,171.0,0.0,188.0,0.0,110.0,178.0,253.0,0.0,240.0,762.0,261.0,0.0,0.0,0.0,0.0,248.0,374.0,0.0,153.0,0.0,177.0,0.0,0.0,0.0,0.0,947.0,0.0,0.0,0.0,140.0,273.0,233.0,0.0,162.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,190.0,197.0,361.0,0.0,0.0,210.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,201.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,434.0,623.0,235.0,0.0,177.0,0.0,306.0,0.0,0.0,344.0,0.0,804.0,0.0,0.0,0.0,532.0,210.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,319.0,285.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,231.0,227.0,221.0,978.0,177.0,366.0,0.0,427.0,650.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,197.0,163.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,495.0,0.0,313.0,0.0,0.0,318.0,202.0,287.0,448.0,439.0,260.0,306.0,0.0,0.0,0.0,151.0,238.0,0.0,222.0,0.0,112.0,185.0,275.0,0.0,274.0,892.0,374.0,0.0,0.0,0.0,0.0,326.0,490.0,0.0,165.0,0.0,212.0,0.0,0.0,0.0,0.0,1236.0,0.0,0.0,0.0,153.0,321.0,338.0,0.0,189.0,0.0,0.0,0.0,0.0,631.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,194.0,249.0,504.0,0.0,0.0,211.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,220.0,0.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,537.0,882.0,235.0,0.0,0.0,0.0,382.0,0.0,0.0,434.0,0.0,827.0,0.0,0.0,0.0,789.0,256.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,369.0,423.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,320.0,309.0,355.0,1501.0,193.0,557.0,0.0,433.0,888.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,798.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,646.0,0.0,345.0,0.0,0.0,363.0,230.0,355.0,642.0,442.0,277.0,438.0,0.0,0.0,0.0,151.0,274.0,0.0,249.0,0.0,117.0,191.0,286.0,0.0,402.0,1146.0,430.0,0.0,0.0,0.0,0.0,462.0,642.0,0.0,195.0,0.0,366.0,0.0,0.0,0.0,0.0,1529.0,0.0,0.0,0.0,153.0,373.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,897.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,298.0,655.0,0.0,0.0,214.0,0.0,0.0,0.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,632.0,1323.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,875.0,0.0,0.0,0.0,981.0,285.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,400.0,613.0,0.0,0.0,0.0,0.0,684.0,0.0,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,439.0,450.0,355.0,2336.0,214.0,683.0,0.0,677.0,1128.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,875.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,784.0,0.0,443.0,0.0,0.0,395.0,230.0,425.0,785.0,452.0,308.0,438.0,0.0,0.0,0.0,151.0,392.0,0.0,0.0,0.0,130.0,204.0,319.0,0.0,557.0,1595.0,589.0,0.0,0.0,0.0,0.0,620.0,854.0,0.0,216.0,0.0,599.0,0.0,0.0,0.0,0.0,1872.0,0.0,0.0,0.0,198.0,456.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,860.0,0.0,0.0,221.0,0.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,746.0,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,932.0,0.0,0.0,0.0,1082.0,294.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,450.0,716.0,0.0,0.0,0.0,0.0,847.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,492.0,514.0,454.0,2922.0,233.0,785.0,0.0,712.0,1689.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,1099.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,887.0,0.0,0.0,0.0,0.0,416.0,380.0,536.0,1020.0,460.0,367.0,495.0,0.0,0.0,0.0,187.0,511.0,0.0,0.0,0.0,138.0,0.0,341.0,0.0,0.0,2022.0,1204.0,0.0,0.0,0.0,0.0,775.0,1121.0,0.0,0.0,0.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,590.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,1016.0,0.0,0.0,237.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.0,0.0,0.0,0.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0,922.0,2775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,0.0,1024.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,521.0,1126.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,562.0,579.0,542.0,3513.0,266.0,906.0,0.0,883.0,1835.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,0.0,991.0,0.0,0.0,0.0,0.0,0.0,380.0,634.0,1280.0,470.0,433.0,0.0,0.0,0.0,0.0,187.0,562.0,0.0,0.0,0.0,150.0,0.0,383.0,0.0,0.0,2931.0,1639.0,0.0,0.0,0.0,0.0,924.0,1359.0,0.0,0.0,0.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,1332.0,0.0,0.0,256.0,0.0,0.0,0.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,0.0,0.0,0.0,0.0,4528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,0.0,1115.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,626.0,1412.0,0.0,0.0,0.0,0.0,1139.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,686.0,621.0,4747.0,316.0,1125.0,0.0,1071.0,2502.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,749.0,1600.0,481.0,576.0,0.0,0.0,0.0,0.0,0.0,767.0,0.0,0.0,0.0,160.0,0.0,414.0,0.0,0.0,3526.0,2140.0,0.0,0.0,0.0,0.0,1032.0,2200.0,0.0,0.0,0.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,1312.0,0.0,0.0,0.0,0.0,0.0,0.0,4587.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,1646.0,0.0,0.0,269.0,0.0,0.0,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,2201.0,0.0,0.0,0.0,0.0,0.0,1231.0,0.0,0.0,0.0,0.0,0.0,5994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,0.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,700.0,1784.0,0.0,0.0,0.0,0.0,1296.0,0.0,0.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0.0,0.0,634.0,5823.0,0.0,1329.0,0.0,1442.0,3089.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,901.0,2060.0,494.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,442.0,0.0,0.0,4212.0,3004.0,0.0,0.0,0.0,0.0,1121.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,6067.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,2196.0,0.0,0.0,285.0,0.0,0.0,0.0,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,0.0,0.0,0.0,0.0,0.0,7734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,2281.0,0.0,0.0,0.0,0.0,1567.0,0.0,0.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,0.0,0.0,634.0,6566.0,0.0,0.0,0.0,1930.0,3858.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2362.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,480.0,0.0,0.0,4812.0,4231.0,0.0,0.0,0.0,0.0,1167.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.0,2174.0,0.0,0.0,0.0,0.0,0.0,0.0,7823.0,0.0,0.0
